center,max,min,mean
294.181,0.137558,0.137558,0.137558
296.096,0.219283,0.219283,0.219283
296.157,0.418624,0.418624,0.418624
296.157,0.365085,0.365085,0.365085
296.187,0.54136,0.54136,0.54136
304.119,0.139366,0.139366,0.139366
304.211,0.227181,0.227181,0.227181
304.211,0.21791,0.21791,0.21791
305.012,0.15461,0.15461,0.15461
305.074,0.218785,0.218785,0.218785
305.105,0.142021,0.142021,0.142021
307.081,0.345827,0.345827,0.345827
307.112,0.493102,0.493102,0.493102
307.143,0.238284,0.238284,0.238284
307.143,0.320189,0.320189,0.320189
309.063,0.854276,0.854276,0.854276
309.125,0.585607,0.585607,0.585607
309.125,0.410211,0.410211,0.410211
309.125,1.18306,1.18306,1.18306
311.051,0.125499,0.125499,0.125499
311.113,0.198762,0.198762,0.198762
313.106,0.151851,0.151851,0.151851
313.169,0.171773,0.171773,0.171773
315.074,0.862714,0.862714,0.862714
315.105,1.36626,1.36626,1.36626
315.136,0.352391,0.352391,0.352391
315.136,0.48488,0.48488,0.48488
318.145,0.131892,0.131892,0.131892
318.207,0.230275,0.230275,0.230275
318.207,0.199078,0.199078,0.199078
318.239,0.230636,0.230636,0.230636
319.213,0.173007,0.173007,0.173007
319.213,0.177046,0.177046,0.177046
320.189,0.21127,0.21127,0.21127
321.008,0.176561,0.176561,0.176561
321.039,0.234514,0.234514,0.234514
321.071,0.143873,0.143873,0.143873
326.387,0.193972,0.193972,0.193972
329.25,0.140888,0.140888,0.140888
329.282,0.34733,0.34733,0.34733
329.282,0.171243,0.171243,0.171243
331.037,0.877185,0.877185,0.877185
331.069,1.3231,1.3231,1.3231
331.101,0.557972,0.557972,0.557972
331.101,0.409129,0.409129,0.409129
333.053,0.108531,0.108531,0.108531
334.207,0.194297,0.194297,0.194297
335.106,0.152043,0.152043,0.152043
337.035,1.1404,1.1404,1.1404
337.1,0.566735,0.566735,0.566735
337.1,0.46361,0.46361,0.46361
337.1,1.60107,1.60107,1.60107
338.034,0.115935,0.115935,0.115935
338.099,0.196031,0.196031,0.196031
347.018,0.213189,0.213189,0.213189
347.05,0.340864,0.340864,0.340864
347.083,0.178769,0.178769,0.178769
